Mean_Thick;Max_Thick;SD_Thick;Weight;Surf_Plat;Surf_Plat_II;Plat_Depth;Cortex;Cortex_Loc;No_Scars;Long_Ridges;EPA;IPA
 9,900000;11,8;1,41656862; 9,91; 57,176986; 72,80; 6,5;5;5;4;0; 80;105
11,200000;14,2;2,88790582;11,39;118,800000;237,60;12,0;3;2;1;0; 73;110
11,966667;16,6;3,48361243;23,85; 68,000000;136,00; 6,8;2;3;2;0; 66;110
15,466667;18,8;2,39211668;16,09; 19,352211; 24,64; 4,4;5;5;3;1; 64;120
 9,900000;12,2;2,39304548; 5,90; 69,255000;138,51; 8,1;5;5;3;0; 76;105
14,200000;15,3;0,78740079;35,03;121,234061;154,36; 6,8;5;5;3;0; 70;115
11,100000;13,9;3,27821089;17,80; 71,810000;143,62; 8,6;5;5;2;0; 69;112
16,566667;18,0;1,22836838;23,39;151,900000;303,80;14,0;5;5;3;0; 58;115
 7,766667; 9,2;2,02703944; 3,42; 80,251984;102,18; 7,8;5;5;2;1; 76;100
 8,266667; 9,3;1,39124245; 5,97; 49,500000; 99,00; 7,5;5;5;3;0; 88; 99
 6,600000;10,3;2,62424592;13,13; 35,880000; 71,76; 6,9;3;2;0;0; 80;100
14,466667;15,6;1,39602611;57,00;170,050000;340,10; 9,5;3;2;2;0; 68;112
 8,966667;10,6;1,96694913; 7,36;  8,670796; 11,04; 2,3;5;5;3;0; 56;128
12,033333;13,6;2,14527905; 7,98; 43,240000; 61,18; 4,6;5;5;3;0; 65;108
 7,166667; 8,8;1,77451089; 2,33; 20,240000; 40,48; 4,4;5;5;2;0; 50;127
 7,700000;11,8;3,26904675; 5,78; 45,795000; 91,59; 7,1;5;5;2;1; 74; 99
 6,500000; 7,2;0,72571804; 4,89; 29,760000; 59,52; 4,8;5;5;3;0; 71;100
 6,766667; 8,7;1,68193011; 7,93;146,150000;193,88; 7,4;2;2;2;0; 68;115
13,733333;16,7;2,09814733;44,01;477,950000;635,16;15,8;3;2;3;0; 90; 95
 5,466667; 5,9;0,47842334; 4,41; 71,196344; 90,65; 4,9;5;5;3;0; 85; 90
20,200000;23,0;2,67332502;37,98;193,200000;386,40;14,0;2;2;1;0; 78;129
 9,100000;13,3;3,95558677;13,02; 29,100000; 58,20; 6,0;5;5;3;0; 74;106
 8,633333; 8,8;0,23570226;16,98; 82,631741;105,21; 6,3;2;2;1;0; 85; 95
 5,200000; 6,8;1,34907376; 1,22;103,790000;207,58;19,4;5;5;2;1; 61;120
 7,000000; 9,1;1,55134350; 3,57; 27,331856; 34,80; 4,0;3;3;3;0; 75;116
 8,800000;11,3;2,22261108; 2,65; 23,760000; 47,52; 4,8;3;3;2;0; 55;131
 4,966667; 5,6;0,44969125; 1,63; 57,750000;115,50; 7,0;5;5;1;0; 75;106
 6,533333; 7,4;1,08730043; 4,66; 35,520000; 71,04; 3,7;1;1;0;0; 74;105
 5,200000; 5,9;0,57154761; 2,98; 31,850000; 37,45; 3,5;4;3;3;0; 65;115
 7,066667; 8,8;1,24988888; 2,77; 12,920000; 25,84; 3,8;4;2;3;0; 69;120
 3,633333; 4,7;0,99777530; 1,33; 39,840000; 79,68; 4,8;5;5;1;0; 59;110
 5,033333; 6,7;1,82086670; 1,64; 41,340000; 82,68; 7,8;5;5;2;0; 66;119
 6,566667; 7,5;0,92855922; 2,15; 38,280000; 76,56; 6,6;5;5;2;0; 72;108
