Mean_Thick;Max_Thick;SD_Thick;Weight;Surf_Plat;Surf_Plat_II;Plat_Depth;Cortex;Cortex_Loc;No_Scars;Long_Ridges;EPA;IPA
 5,300000; 7,1;1,82391520; 4,83; 17,205000; 34,41; 3,7;5;5;4;0; 87; 92
 2,633333; 3,1;0,46427961; 2,36;  8,050000; 16,10; 2,3;5;5;4;0; 85; 94
 4,566667; 6,3;1,85172592; 4,93; 77,970000;102,58; 4,6;5;5;3;0; 83; 94
 7,766667;10,0;2,88020061;12,45; 69,700000; 87,04; 6,8;5;5;3;0; 66;110
 5,233333; 6,5;1,26841984; 6,31; 48,600000; 67,05; 4,5;5;5;3;0; 86; 93
 6,833333; 9,0;2,65120518; 5,64; 28,120000; 36,48; 3,8;5;5;2;0; 75;109
 5,133333; 6,9;1,72111075; 8,15; 25,155000; 50,31; 4,3;5;5;4;0; 64;104
 4,766667; 6,7;1,36950924; 4,83; 23,115000; 26,45; 2,3;5;5;3;1; 83;105
 7,033333; 8,4;1,34742553;19,58; 45,760000; 91,52; 5,2;5;5;4;0; 79; 95
 6,166667; 7,8;1,17284081;18,33; 11,900000; 23,80; 2,8;4;4;6;1; 91; 91
 9,300000;11,7;2,53113940;25,87;132,145000;264,29;10,7;3;2;3;0; 80;110
 4,333333; 7,0;1,88561808; 4,53;125,561604;159,87; 7,3;5;5;4;0; 70;113
 7,666667;11,3;3,20659044;15,13; 89,030000;113,68; 5,8;2;2;1;0; 78;109
 8,466667;11,6;4,15157266;16,15;169,750000;214,37; 9,7;3;2;2;0; 85; 80
 8,733333;11,7;2,89865869;19,01; 40,950000; 50,40; 3,5;3;2;2;0; 71;105
 6,200000; 7,6;1,45143607; 9,74; 18,450000; 36,90; 3,0;1;1;0;0; 85; 98
 7,133333;10,1;3,07281991;23,87;118,752202;151,20; 9,0;2;2;1;0; 74; 96
 7,000000; 8,9;1,90262976;23,49; 87,650435;111,60; 6,2;1;1;0;0; 75; 98
 7,433333; 8,8;1,46590890;12,86;151,920000;187,20; 7,2;3;2;3;0;101; 75
 5,066667; 8,0;2,11397467;18,59; 13,560000;  9,12; 2,4;4;4;3;0; 88; 89
 4,366667; 5,1;0,89938250;12,18; 61,875000; 35,75; 5,5;2;3;1;0; 75; 95
 5,233333; 8,9;2,86744176;11,08;201,465000;402,93; 9,9;5;5;3;0; 75;100
 5,333333; 8,0;2,24845626; 6,54;139,620000;173,16; 7,8;5;5;3;0; 80; 90
 7,300000;11,0;3,29342780;13,82;187,850000;198,05; 8,5;5;5;3;0; 81; 94
 5,433333; 6,2;0,57927157; 9,39; 22,619467; 28,80; 3,6;5;5;4;0; 92; 95
 5,200000; 6,5;1,56418243; 8,00; 22,500000; 45,00; 5,0;5;5;4;0; 91; 92
 5,066667; 7,3;1,92584758; 6,93; 72,760000; 93,84; 6,8;5;5;2;0; 90; 92
